,YEAR,PLAYER,POS,BODY_FAT_%,HAND_LENGTH_(INCHES),HAND_WIDTH_(INCHES),HEIGHT_W/O_SHOES,HEIGHT_W/_SHOES,STANDING_REACH,WEIGHT_(LBS),WINGSPAN,LANE_AGILITY_TIME_(SECONDS),SHUTTLE_RUN_(SECONDS),THREE_QUARTER_SPRINT_(SECONDS),STANDING_VERTICAL_LEAP_(INCHES),MAX_VERTICAL_LEAP_(INCHES),MAX_BENCH_PRESS_(REPETITIONS),player_name,team,conf,GP,Min_per,Ortg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Unnamed: 64,Unnamed: 65
0,2021,Max Abmas,PG,5.5,8.0,7.75,70.5,71.75,94.0,161.8,73.75,10.9,3.49,3.12,28.5,32.5,,Max Abmas,Oral Roberts,Sum,26,95.8,121.8,28.9,58.1,63.03,1.4,7.9,22.3,12.3,135,151,0.894,119,231,0.515,97,224,0.433,0.4,2.1,33.2,So,1-Jun,3,6.63947,135.193,2.3,2021,71751,all,,1.64616182,65.0,113.0,54.0,118.0,0.5752,0.4576,0.0,0.0,,,108.12,106.685,2.735,166.477,4.93989,7.13921,-2.19932,6.54942,37.0357,7.27266,-0.723246,0.4286,2.7857,3.2143,3.8214,1.4643,0.1786,24.6071,Scoring PG,12.4316
1,2021,Ochai Agbaji,SG,4.15,9.0,8.75,76.5,77.5,103.5,214.4,82.0,10.88,3.1,3.13,32.0,41.5,,Ochai Agbaji,Kansas,B12,29,84.6,109.6,19.8,52.8,54.49,2.9,9.1,11.1,12.1,49,72,0.681,68,140,0.486,75,202,0.371,1.6,1.9,21.1,Jr,5-Jun,30,3.61989,116.07,2.2,2021,65963,all,73.6,1.36584472,53.0,82.0,15.0,58.0,0.6463,0.2586,15.0,17.0,0.8824,,99.6879,93.1579,4.0056,171.439,5.74306,3.89311,1.84995,5.77629,33.7,3.87413,1.90216,0.9667,2.7,3.6667,1.8667,1.1,0.4667,14.2,Wing G,11.834
2,2021,Marcus Bagley,SF,7.5,8.75,8.5,78.0,79.75,102.5,216.8,83.0,12.26,3.1,3.17,32.5,38.5,,Marcus Bagley,Arizona St.,P12,12,34.7,103.5,19.2,50.5,53.63,5.6,18.9,7.5,13.1,23,32,0.719,16,34,0.471,25,72,0.347,1.6,1.4,30.2,Fr,8-Jun,23,2.21919,107.411,3.9,2021,72858,all,94.6,0.87504688,11.0,18.0,5.0,16.0,0.6111,0.3125,4.0,4.0,1.0,,105.198,98.2246,2.9079,66.8262,3.02306,2.63957,0.383487,2.71388,29.1667,2.61533,0.0985574,1.5,4.6667,6.1667,1.1667,0.75,0.4167,10.8333,Stretch 4,11.3251
3,2021,Scottie Barnes,SF,5.3,9.25,10.25,79.0,80.0,108.0,225.4,86.75,10.88,2.99,3.15,36.0,39.5,,Scottie Barnes,Florida St.,ACC,24,58.9,107.5,25.3,53.1,54.78,7.4,11.0,31.6,22.4,41,66,0.621,87,155,0.561,11,40,0.275,2.1,3.4,33.8,Fr,9-Jun,4,2.97007,120.14,3.5,2021,72657,all,99.0,1.66102588,61.0,89.0,26.0,66.0,0.6854,0.3939,19.0,21.0,0.9048,4.0,97.4474,91.9916,3.0024,119.77,8.27087,4.94571,3.32516,7.19008,24.7917,4.19499,2.9951,1.4583,2.5417,4.0,4.0833,1.4583,0.4583,10.3333,Scoring PG,3.85045
4,2021,Brandon Boston Jr.,SF,6.0,9.0,9.75,77.75,79.0,104.0,188.0,82.75,,,,,,,Brandon Boston Jr.,Kentucky,SEC,25,75.9,96.4,21.4,40.7,44.72,4.7,11.1,11.3,12.5,51,65,0.785,73,190,0.384,30,100,0.3,0.5,2.5,22.4,Fr,7-Jun,3,2.05213,104.725,2.6,2021,73723,all,99.4,1.13888883,43.0,86.0,30.0,104.0,0.5,0.2885,9.0,10.0,0.9,51.0,100.904,94.4215,3.46091,137.55,2.94344,1.98327,0.96017,2.14957,30.68,0.781566,1.368,1.32,3.16,4.48,1.64,1.32,0.16,11.48,Wing G,7.46035
5,2021,James Bouknight,SG,5.5,8.75,9.0,75.5,76.75,101.5,190.0,80.25,,,,,,,James Bouknight,Connecticut,BE,15,51.4,106.2,30.2,49.8,54.57,5.3,15.0,12.8,17.7,63,81,0.778,76,144,0.528,22,75,0.293,0.9,2.2,37.0,So,5-Jun,2,4.56274,127.125,2.4,2021,70319,all,86.8,0.64285714,52.0,79.0,24.0,65.0,0.6582,0.3692,12.0,12.0,1.0,11.0,97.5146,92.9668,3.73664,85.7659,4.43505,3.90627,0.528775,7.92452,31.6667,6.1589,1.76562,1.5333,4.1333,5.6667,1.8,1.1333,0.2667,18.7333,Wing G,9.51638
6,2021,Greg Brown III,PF,5.5,9.0,9.75,79.25,80.5,107.0,206.4,84.25,10.98,2.98,3.19,33.5,39.0,,Greg Brown III,Texas,B12,26,48.9,91.7,25.8,49.7,53.48,6.8,25.7,3.8,25.0,51,72,0.708,51,102,0.5,30,91,0.33,5.0,1.6,37.3,Fr,9-Jun,4,1.33983,104.291,5.8,2021,73630,all,98.6,0.16665946,39.0,72.0,12.0,30.0,0.5417,0.4,14.0,21.0,0.6667,43.0,90.9159,86.0251,2.90209,128.496,0.446613,-1.88876,2.33537,1.63117,20.5769,-0.541827,2.17299,1.1923,4.9615,6.1538,0.3846,0.5769,1.0,9.3462,PF/C,9.75437
7,2021,Jared Butler,PG,5.1,8.5,8.25,74.25,75.75,98.5,193.0,76.0,,,,,,,Jared Butler,Baylor,B12,30,75.8,117.3,26.9,57.3,59.87,1.7,11.3,27.8,20.0,71,91,0.78,100,191,0.524,77,185,0.416,1.3,3.7,24.2,Jr,3-Jun,12,5.12431,133.982,3.2,2021,66113,all,80.8,1.69413758,65.0,102.0,35.0,89.0,0.6373,0.3933,5.0,6.0,0.8333,40.0,93.0658,88.9811,4.02518,187.727,9.75719,7.21463,2.54256,10.7422,30.4333,7.35138,3.39086,0.4333,2.8667,3.3,4.8,1.9667,0.3667,16.7333,Scoring PG,11.7235
8,2021,Julian Champagnie,SF,8.0,9.0,8.5,78.5,79.5,106.5,217.4,82.0,12.38,3.2,3.2,26.0,32.0,,Julian Champagnie,St. John's,BE,25,75.1,111.0,25.9,51.2,56.44,5.3,19.8,7.9,12.0,102,115,0.887,106,224,0.473,60,159,0.377,3.2,2.4,30.0,So,8-Jun,2,4.50125,125.3,2.1,2021,71224,all,,0.70212769,62.0,104.0,44.0,120.0,0.5962,0.3667,12.0,15.0,0.8,,99.8999,94.9948,3.62638,178.936,4.92155,4.0211,0.900443,7.18179,32.88,6.52412,0.657665,1.64,5.72,7.36,1.32,1.44,1.0,19.76,Wing F,10.4787
9,2021,Justin Champagnie,PF,6.3,8.75,8.5,77.75,78.75,104.0,206.4,81.5,11.94,3.14,3.34,27.0,35.0,,Justin Champagnie,Pittsburgh,ACC,20,78.1,115.0,24.6,51.6,54.87,10.8,25.6,10.4,10.3,69,97,0.711,111,208,0.534,23,74,0.311,4.3,2.0,34.4,So,6-Jun,11,4.81325,125.637,2.0,2021,70735,all,50.6,1.0333333,78.0,122.0,33.0,86.0,0.6393,0.3837,14.0,15.0,0.9333,,97.4409,92.8798,4.09743,153.128,6.63227,4.41979,2.21249,7.52846,34.35,6.82869,0.699771,3.4,7.65,11.05,1.55,1.15,1.25,18.0,Stretch 4,6.25813
