YEAR,PLAYER,POS,BODYÊFATÊ%,HANDÊLENGTHÊ(INCHES),HANDÊWIDTHÊ(INCHES),HEIGHTÊW/OÊSHOES,HEIGHTÊW/ÊSHOES,STANDINGÊREACH,WEIGHTÊ(LBS),WINGSPAN,LANEÊAGILITYÊTIMEÊ(SECONDS),SHUTTLEÊRUNÊ(SECONDS),THREEÊQUARTERÊSPRINTÊ(SECONDS),STANDINGÊVERTICALÊLEAPÊ(INCHES),MAXÊVERTICALÊLEAPÊ(INCHES),MAXÊBENCHÊPRESSÊ(REPETITIONS)
2022,Max Abmas,PG,5.50%,8,7.75,5'10.5'',5'11.75'',7'10.0'',161.8,6'1.75'',10.9,3.49,3.12,28.5,32.5,-
2022,Ochai Agbaji,SG,4.15%,9,8.75,6'4.5'',6'5.5'',8'7.5'',214.4,6'10.0'',10.88,3.1,3.13,32,41.5,-
2022,Marcus Bagley,SF,7.50%,8.75,8.5,6'6.0'',6'7.75'',8'6.5'',216.8,6'11.0'',12.26,3.1,3.17,32.5,38.5,-
2022,Scottie Barnes,SF,5.30%,9.25,10.25,6'7.0'',6'8.0'',9'0.0'',225.4,7'2.75'',10.88,2.99,3.15,36,39.5,-
2022,Charles Bassey,C,5.90%,9,9.5,6'9.25'',6'10.25'',8'11.5'',230.2,7'3.0'',12.19,3.33,3.13,33,36,-
2022,Brandon Boston Jr.,SF,6.00%,9,9.75,6'5.75'',6'7.0'',8'8.0'',188,6'10.75'',-,-,-,-,-,-
2022,James Bouknight,SG,5.50%,8.75,9,6'3.5'',6'4.75'',8'5.5'',190,6'8.25'',-,-,-,-,-,-
2022,Greg Brown III,PF,5.50%,9,9.75,6'7.25'',6'8.5'',8'11.0'',206.4,7'0.25'',10.98,2.98,3.19,33.5,39,-
2022,Jared Butler,PG,5.10%,8.5,8.25,6'2.25'',6'3.75'',8'2.5'',193,6'4.0'',-,-,-,-,-,-
2022,Julian Champagnie,SF,8.00%,9,8.5,6'6.5'',6'7.5'',8'10.5'',217.4,6'10.0'',12.38,3.2,3.2,26,32,-
2022,Justin Champagnie,PF,6.30%,8.75,8.5,6'5.75'',6'6.75'',8'8.0'',206.4,6'9.5'',11.94,3.14,3.34,27,35,-
2022,Josh Christopher,SG,5.80%,8.75,8.5,6'3.25'',6'4.5'',8'5.0'',214.8,6'9.25'',11.32,3.3,3.14,29.5,37.5,-
2022,Sharife Cooper,PG,-%,-,-,,,,-,,-,-,-,-,-,-
2022,Cade Cunningham,PG,-%,-,-,,,,-,,-,-,-,-,-,-
2022,Ayo Dosunmu,SG,4.90%,8.5,8.75,6'3.5'',6'5.0'',8'6.0'',194.4,6'10.25'',11.51,3.27,3.23,27,33.5,-
2022,David Duke Jr.,SG,5.90%,8.5,9,6'4.25'',6'5.5'',8'6.5'',203.6,6'8.75'',11.21,3.19,3.08,30,39,-
2022,Kessler Edwards,PF,4.30%,8.5,8.25,6'7.0'',6'8.0'',8'10.0'',203,6'11.25'',11.3,3.38,3.25,28,37,-
2022,Luka Garza,C,11.70%,9,9.25,6'10.0'',6'11.25'',8'11.5'',242.8,7'1.5'',11.9,3.38,3.51,24,29.5,-
2022,RaiQuan Gray,PF,17.30%,9.25,9,6'6.5'',6'7.75'',8'9.0'',268.6,6'10.75'',11.69,3.3,3.25,26.5,31.5,-
2022,Jalen Green,SG,-%,-,-,,,,-,,-,-,-,-,-,-
2022,Quentin Grimes,SG,6.60%,8.5,10,6'4.0'',6'5.25'',8'5.0'',205,6'8.0'',11.09,3.33,3.07,30.5,38.5,-
2022,Sam Hauser,SF,7.90%,8.25,9,6'6.75'',6'8.0'',8'6.0'',217.4,6'9.25'',11.14,3.07,3.34,28.5,34.5,-
2022,Aaron Henry,SF,5.60%,8.5,9.25,6'4.5'',6'6.0'',8'7.5'',209.6,6'10.75'',11.68,3.18,3.07,29,35,-
2022,Ariel Hukporti,C,8.10%,9.5,9.5,6'10.75'',7'0.0'',9'3.5'',246,7'2.5'',12.2,3.53,3.12,24.5,31,-
2022,Matt Hurt,PF,15.20%,9,9,6'8.5'',6'9.5'',8'10.5'',232.4,6'9.5'',11.44,3.25,3.34,25.5,32.5,-
2022,Nah'Shon Hyland,SG,5.80%,8.75,9,6'2.0'',6'3.5'',8'5.5'',169,6'9.25'',10.53,3.17,3.1,26.5,34,-
2022,Isaiah Jackson,C,-%,-,-,,,,-,,-,-,-,-,-,-
2022,David Johnson,SG,7.50%,8.25,8.5,6'3.25'',6'4.75'',8'8.0'',202.8,6'10.5'',12.02,3.2,3.03,33,39,-
2022,Jalen Johnson,PF,4.50%,9.75,10.5,6'7.75'',6'9.25'',8'10.0'',209.6,7'0.25'',-,-,-,-,-,-
2022,Keon Johnson,SG,4.40%,8.5,9,6'3.5'',6'4.75'',8'1.0'',184.8,6'7.25'',11.45,3.2,3,41.5,48,-
2022,Carlik Jones,PG,4.50%,8.25,9,6'0.0'',6'1.0'',8'1.5'',173.6,6'5.0'',10.96,3.23,3.16,31.5,36,-
2022,Kai Jones,PF,4.70%,9,9.5,6'10.0'',6'11.5'',9'2.5'',221.4,7'1.75'',-,-,-,-,-,-
2022,Herbert Jones,SF,5.80%,8.5,9,6'6.0'',6'7.25'',8'10.0'',206.4,7'0.25'',11.02,3.17,3.25,28.5,36.5,-
2022,Johnny Juzang,SG,8.00%,8.5,9.5,6'5.5'',6'7.0'',8'4.5'',209,6'10.5'',11.13,3.08,3.13,31,36.5,-
2022,Corey Kispert,SF,6.80%,8.75,10,6'6.0'',6'7.25'',8'6.0'',223.8,6'7.0'',10.91,2.99,3.12,30,37.5,-
2022,Jonathan Kuminga,SF,-%,-,-,,,,-,,-,-,-,-,-,-
2022,AJ Lawson,SG-SF,4.40%,8.5,9.25,6'5.5'',6'6.75'',8'3.5'',179.2,6'6.75'',11,3.01,2.98,33,41,-
2022,Scottie Lewis,SF,4.70%,8.75,9.75,6'4.0'',6'5.25'',8'5.5'',187.6,7'0.0'',10.45,3.03,2.98,34,42,-
2022,Isaiah Livers,SF,9.40%,9,9.5,6'5.75'',6'7.25'',8'8.5'',231.8,6'9.25'',-,-,-,-,-,-
2022,Makur Maker,C,14.50%,8.75,9.5,6'10.25'',6'11.25'',9'4.0'',232.2,7'1.75'',11.87,3.28,3.34,25.5,31,-
2022,Sandro Mamukelashvili,C,7.80%,9,9.5,6'9.0'',6'10.0'',8'10.5'',239.8,7'1.25'',11.63,3.3,3.21,30.5,36.5,-
2022,Tre Mann,PG,4.10%,8,9,6'3.25'',6'4.25'',8'2.5'',177.6,6'4.0'',-,-,-,-,-,-
2022,Matthew Mayer,PF,-%,-,-,,,,-,,-,-,-,-,-,-
2022,Miles McBride,PG,6.00%,9,9.5,6'1.0'',6'2.5'',8'3.5'',195.2,6'8.75'',11.08,3.13,3.1,31,38.5,-
2022,Davion Mitchell,PG,6.20%,8.25,8.75,6'0.0'',6'1.25'',8'0.5'',202.4,6'4.25'',-,-,-,-,-,-
2022,Evan Mobley,PF,-%,-,-,,,,-,,-,-,-,-,-,-
2022,Isaiah Mobley,PF,12.90%,9,10,6'8.0'',6'9.75'',8'11.5'',238,7'3.0'',12.7,3.5,3.3,26.5,32,-
2022,Moses Moody,SG,6.80%,9,10,6'4.5'',6'6.0'',8'9.0'',210.6,7'0.75'',-,-,-,-,-,-
2022,Trey Murphy III,SF,8.10%,8.5,9,6'7.5'',6'9.25'',8'9.5'',206,7'0.0'',11.65,3.32,3.14,34,38,-
2022,Daishen Nix,PG,11.80%,8.5,9,6'3.0'',6'4.25'',8'4.0'',225.6,6'6.75'',11.72,3.18,3,29.5,36.5,-
2022,John Petty Jr.,SG,5.60%,8.5,9,6'4.5'',6'5.75'',8'7.5'',186.2,6'9.5'',11.51,3.17,3.35,27.5,34,-
